event_id,player_name_odds,player_key,line_points,line,commence_time,event_home_team,event_away_team,over_price,under_price,all_bookmaker_titles,bookmaker_count,person_id,team_id,q10,q50,q90,selection_side,selection_distance,tail_distance,selection_ratio,model_recommendation,pick_odds,is_recommended
0cab123e90bdf5d1d144a7e26ebc339c,Donovan Clingan,donovan clingan,7.5,7.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.56,2.35,Bovada,1.0,1642270,1610612757,5.2075267,11.865492,20.081131,,4.36549186706543,12.581130981445312,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Donovan Clingan,donovan clingan,10.5,10.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.5,1.5,Bovada,1.0,1642270,1610612757,5.2075267,11.865492,20.081131,,1.3654918670654297,9.581130981445312,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Donovan Clingan,donovan clingan,11.5,11.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,3.0,1.36,Bovada,1.0,1642270,1610612757,5.2075267,11.865492,20.081131,,0.3654918670654297,8.581130981445312,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Dylan Harper,dylan harper,8.5,8.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.38,2.9,Bovada,1.0,1642844,1610612759,2.7143333,9.356781,18.266779,,0.856781005859375,9.766778945922852,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Dylan Harper,dylan harper,9.5,9.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.56,2.35,Bovada,1.0,1642844,1610612759,2.7143333,9.356781,18.266779,,0.143218994140625,8.766778945922852,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Dylan Harper,dylan harper,12.5,12.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.35,1.56,Bovada,1.0,1642844,1610612759,2.7143333,9.356781,18.266779,,3.143218994140625,5.766778945922852,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Dylan Harper,dylan harper,13.5,13.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.75,1.42,Bovada,1.0,1642844,1610612759,2.7143333,9.356781,18.266779,,4.143218994140625,4.766778945922852,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Jerami Grant,jerami grant,7.5,7.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.43,2.7,Bovada,1.0,203924,1610612757,6.607352,14.936019,25.288843,over,7.436018943786621,17.788843154907227,,over,1.43,True
0cab123e90bdf5d1d144a7e26ebc339c,Jerami Grant,jerami grant,8.5,8.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.62,2.2,Bovada,1.0,203924,1610612757,6.607352,14.936019,25.288843,,6.436018943786621,16.788843154907227,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Jerami Grant,jerami grant,11.5,11.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.55,1.48,Bovada,1.0,203924,1610612757,6.607352,14.936019,25.288843,,3.436018943786621,13.788843154907227,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Jerami Grant,jerami grant,12.5,12.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,3.05,1.36,Bovada,1.0,203924,1610612757,6.607352,14.936019,25.288843,,2.436018943786621,12.788843154907227,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Jrue Holiday,jrue holiday,13.5,13.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.36,3.0,Bovada,1.0,201950,1610612757,8.717622,17.867876,28.977121,,4.367876052856445,15.477121353149414,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Jrue Holiday,jrue holiday,14.5,14.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.5,2.5,Bovada,1.0,201950,1610612757,8.717622,17.867876,28.977121,,3.3678760528564453,14.477121353149414,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Jrue Holiday,jrue holiday,15.5,15.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.67,2.15,Bovada,1.0,201950,1610612757,8.717622,17.867876,28.977121,,2.3678760528564453,13.477121353149414,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Jrue Holiday,jrue holiday,18.5,18.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.35,1.56,Bovada,1.0,201950,1610612757,8.717622,17.867876,28.977121,,0.6321239471435547,10.477121353149414,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Jrue Holiday,jrue holiday,19.5,19.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.65,1.45,Bovada,1.0,201950,1610612757,8.717622,17.867876,28.977121,,1.6321239471435547,9.477121353149414,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Jrue Holiday,jrue holiday,20.5,20.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,3.05,1.36,Bovada,1.0,201950,1610612757,8.717622,17.867876,28.977121,,2.6321239471435547,8.477121353149414,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Julian Champagnie,julian champagnie,6.5,6.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.38,2.9,Bovada,1.0,1630577,1610612759,2.0248694,8.341661,16.851648,,1.8416614532470703,10.351648330688477,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Julian Champagnie,julian champagnie,7.5,7.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.56,2.35,Bovada,1.0,1630577,1610612759,2.0248694,8.341661,16.851648,,0.8416614532470703,9.351648330688477,,over,,False
0cab123e90bdf5d1d144a7e26ebc339c,Julian Champagnie,julian champagnie,10.5,10.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.5,1.5,Bovada,1.0,1630577,1610612759,2.0248694,8.341661,16.851648,,2.1583385467529297,6.351648330688477,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Julian Champagnie,julian champagnie,11.5,11.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,3.0,1.36,Bovada,1.0,1630577,1610612759,2.0248694,8.341661,16.851648,,3.1583385467529297,5.351648330688477,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Luke Kornet,luke kornet,3.5,3.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,1.56,2.35,Bovada,1.0,1628436,1610612759,-0.049371235,3.3614714,9.918263,,0.13852858543395996,6.4182634353637695,,under,,False
0cab123e90bdf5d1d144a7e26ebc339c,Luke Kornet,luke kornet,5.5,5.5,2026-04-26T19:40:00Z,Portland Trail Blazers,San Antonio Spurs,2.35,1.56,Bovada,1.0,1628436,1610612759,-0.049371235,3.3614714,9.918263,,2.13852858543396,4.4182634353637695,,under,,False
